,track,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,top100,top10
0,She Came II Give It II U ,Usher,0.821,0.565,4,-5.403,0,0.0837,0.0419,0.0,0.0796,0.732,120,242560,4,0,0
1,Loyal ,Chris Brown,0.841,0.522,10,-5.963,0,0.049,0.0168,1.37e-06,0.188,0.616,99,264947,4,0,0
2,Fireball ,Pitbull,0.69,0.937,10,-5.393,1,0.0642,0.0894,0.000104,0.0532,0.794,123,235012,4,0,0
3,Chandelier,Sia,0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,0.572,117,216120,5,0,0
4,Black Widow,Iggy Azalea,0.743,0.72,11,-3.753,1,0.124,0.192,0.000386,0.109,0.519,164,209423,4,0,0
5,Shower,Becky G,0.699,0.529,2,-7.548,1,0.0487,0.0317,3.59e-05,0.285,0.121,120,206167,4,0,0
6,Habits ,Tove Lo,0.729,0.65,5,-3.539,1,0.0313,0.0702,6.69e-05,0.0829,0.347,110,209160,4,0,0
7,New Flame,Chris Brown,0.702,0.629,1,-4.292,1,0.041,0.0506,0.0,0.0963,0.446,142,244227,4,0,0
8,Waves ,Mr. Probz,0.829,0.51,5,-9.334,0,0.0369,0.00821,0.0014,0.0829,0.45,120,208133,4,0,0
9,Don't Tell 'Em,Jeremih,0.64,0.782,5,-4.177,0,0.189,0.379,0.0,0.109,0.825,98,249626,4,0,0
10,Good Kisser,Usher,0.391,0.604,2,-8.104,1,0.212,0.00812,5.18e-06,0.0443,0.168,170,268000,4,0,0
11,Pills N Potions,Nicki Minaj,0.844,0.491,10,-8.807,0,0.17,0.272,0.0,0.111,0.196,92,337640,4,0,0
12,Believe Me,Lil Wayne,0.77,0.664,0,-5.604,1,0.211,0.215,0.000118,0.105,0.472,140,321987,4,0,0
13,Tuesday ,ILOVEMAKONNEN,0.838,0.72,7,-4.135,0,0.0483,0.0862,0.00697,0.0772,0.204,123,251987,4,0,0
14,Hideaway,Kiesza,0.799,0.586,11,-6.735,1,0.0377,0.162,2.03e-06,0.193,0.549,121,227833,4,0,0
15,Rather Be ,Clean Bandit,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,128,222533,4,0,0
16,Summer,Calvin Harris,0.774,0.756,1,-4.995,1,0.0389,0.0423,0.0,0.305,0.931,144,224840,4,0,0
17,Rude,MAGIC!,0.764,0.567,0,-8.585,1,0.0609,0.0126,9.51e-05,0.257,0.428,90,198907,4,0,0
18,Tennis Court,Lorde,0.687,0.702,7,-5.324,0,0.0455,0.0064,4.35e-05,0.204,0.284,130,214840,4,0,0
19,Break Free,Ariana Grande,0.551,0.636,6,-7.125,1,0.0281,0.00713,0.00203,0.217,0.153,125,268467,4,0,0
20,A Sky Full of Stars,Coldplay,0.763,0.875,9,-5.797,0,0.0262,0.024,5.41e-06,0.599,0.8,123,189413,4,0,0
21,Prayer in C ,Lilly Wood and The Prick,0.697,0.621,9,-6.886,0,0.25,0.0802,0.0,0.162,0.721,82,193296,4,0,0
22,Wiggle ,Jason Derulo,0.76,0.652,6,-7.321,1,0.232,0.0348,0.0,0.307,0.759,100,177685,4,0,0
23,Talk Dirty ,Jason Derulo,0.738,0.483,6,-8.915,0,0.0403,0.0262,0.616,0.106,0.355,93,285014,4,0,0
24,Magic,Coldplay,0.614,0.972,5,-3.927,0,0.088,0.00125,0.0186,0.328,0.411,128,170625,4,0,0
25,Bad ,David Guetta,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,144,233478,4,0,0
26,Locked out of Heaven,Bruno Mars,0.645,0.891,6,-2.505,0,0.0387,0.0932,3.88e-06,0.379,0.568,125,203520,4,0,0
27,Lovers on the Sun ,David Guetta,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,73,213827,4,0,0
28,When I Was Your Man,Bruno Mars,0.449,0.585,5,-6.762,1,0.0268,0.0522,8.49e-05,0.0833,0.203,140,278719,4,0,0
29,Paradise,Coldplay,0.637,0.843,5,-5.413,1,0.0432,0.0151,0.0,0.0876,0.434,109,220733,4,0,0
30,Just The Way You Are,Bruno Mars,0.414,0.857,0,-4.078,0,0.0808,0.0287,0.00574,0.343,0.348,128,212960,4,0,0
31,Blame ,Calvin Harris,0.604,0.788,0,-3.673,0,0.103,0.0678,0.153,0.127,0.301,126,245040,4,0,0
32,Titanium ,David Guetta,0.646,0.823,2,-4.123,0,0.0394,0.213,0.0,0.322,0.418,128,227267,4,0,0
33,Outside ,Calvin Harris,0.695,0.869,8,-5.066,1,0.0483,0.41,0.0,0.237,0.58,125,234507,4,0,0
34,I Need Your Love ,Calvin Harris,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,128,206413,4,0,0
35,Feel So Close ,Calvin Harris,0.573,0.929,8,-3.942,0,0.109,0.197,0.000112,0.0567,0.582,128,212560,4,0,0
36,Sweet Nothing ,Calvin Harris,0.725,0.874,0,-3.715,0,0.0396,0.00262,0.000412,0.0958,0.748,128,247933,4,0,0
37,Thinking About You ,Calvin Harris,0.596,0.952,7,-4.364,1,0.0873,0.00131,0.0,0.598,0.571,128,234360,4,0,0
