,track,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,top100,top10,1,2,3,4,5,6,7,8,9,10,11
0,ROCKSTAR ,DaBaby,0.746,0.69,-7.956,1,0.16399999999999998,0.247,0.0,0.10099999999999999,0.49700000000000005,90,181733,1,1,0,0,0,0,0,0,0,0,0,0,1
1,Savage Love ,Jawsh 685,0.767,0.48100000000000004,-8.52,0,0.0803,0.23399999999999999,0.0,0.26899999999999996,0.7609999999999999,150,171375,1,1,0,0,0,0,0,0,0,0,0,0,0
2,Blinding Lights,The Weeknd,0.514,0.73,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.33399999999999996,171,200040,1,1,1,0,0,0,0,0,0,0,0,0,0
3,Watermelon Sugar,Harry Styles,0.5479999999999999,0.816,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95,174000,1,1,0,0,0,0,0,0,0,0,0,0,0
4,Roses - Imanbek Remix,SAINt JHN,0.785,0.721,-5.457000000000001,1,0.0506,0.0149,0.00432,0.285,0.894,122,176219,1,1,0,0,0,0,0,0,0,1,0,0,0
5,Come & Go ,Juice WRLD,0.625,0.8140000000000001,-5.181,1,0.0657,0.0172,0.0,0.158,0.535,145,205485,1,1,0,0,0,0,0,0,0,0,0,0,0
6,POPSTAR ,DJ Khaled,0.8,0.56,-4.8180000000000005,0,0.261,0.057,0.0,0.134,0.45,163,200221,1,1,0,0,0,0,1,0,0,0,0,0,0
7,Wishing Well,Juice WRLD,0.65,0.613,-6.13,0,0.128,0.00336,0.0,0.267,0.0804,150,194621,1,1,0,0,0,0,0,0,0,0,1,0,0
8,Breaking Me,Topic,0.789,0.72,-5.652,0,0.218,0.223,0.0,0.129,0.664,122,166794,1,1,0,0,0,0,0,0,0,1,0,0,0
9,death bed ,Powfu,0.726,0.431,-8.765,0,0.135,0.731,0.0,0.696,0.348,144,173333,1,1,0,0,0,0,0,0,0,1,0,0,0
10,Rain On Me ,Lady Gaga,0.672,0.855,-3.764,1,0.0397,0.021,0.0,0.32299999999999995,0.6459999999999999,123,182200,1,0,0,0,0,0,0,0,0,0,1,0,0
11,Dance Monkey,Tones And I,0.8240000000000001,0.588,-6.4,0,0.0924,0.6920000000000001,0.00010400000000000001,0.149,0.513,98,209438,1,0,0,0,0,0,0,1,0,0,0,0,0
12,ily ,Surf Mesa,0.674,0.774,-7.567,0,0.0892,0.0686,0.0018800000000000002,0.39299999999999996,0.33,112,176547,1,0,0,0,0,0,0,0,0,0,0,0,1
13,La Jeepeta - Remix,Nio Garcia,0.815,0.715,-4.65,0,0.207,0.3,4.83e-06,0.091,0.7859999999999999,176,345241,1,0,0,0,0,1,0,0,0,0,0,0,0
14,WHATS POPPIN ,Jack Harlow,0.904,0.723,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145,227478,1,0,0,0,0,0,0,0,0,0,0,0,1
15,How You Like That,BLACKPINK,0.828,0.782,-4.013999999999999,1,0.0918,0.0694,3.41e-05,0.0544,0.35100000000000003,130,181264,1,0,0,0,0,0,0,0,0,0,0,0,1
16,Toosie Slide,Drake,0.8340000000000001,0.45399999999999996,-9.75,0,0.201,0.321,6.15e-06,0.114,0.8370000000000001,82,247059,1,0,1,0,0,0,0,0,0,0,0,0,0
17,Break My Heart,Dua Lipa,0.73,0.7290000000000001,-3.4339999999999997,0,0.0886,0.16699999999999998,1.39e-06,0.349,0.467,113,221820,1,0,0,0,0,1,0,0,0,0,0,0,0
18,MAMACITA,Black Eyed Peas,0.894,0.635,-6.928999999999999,1,0.0473,0.193,0.00105,0.0823,0.428,105,249143,1,0,0,1,0,0,0,0,0,0,0,0,0
19,Don't Start Now,Dua Lipa,0.774,0.5539999999999999,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99,162547,1,0,0,0,0,0,0,0,0,0,0,0,0
20,Blueberry Faygo,Lil Mosey,0.695,0.34299999999999997,-10.798,1,0.0432,0.0743,1.04e-06,0.107,0.22899999999999998,86,218902,1,0,0,0,0,0,1,0,0,0,0,0,0
21,GREECE ,DJ Khaled,0.728,0.431,-9.966000000000001,0,0.0622,0.7490000000000001,0.0,0.0996,0.629,130,147800,1,0,0,0,0,0,0,1,0,0,0,0,0
22,Party Girl ,StaySolidRocky,0.805,0.562,-3.117,0,0.105,0.125,4.96e-06,0.14800000000000002,0.767,172,184255,1,0,0,0,0,0,0,0,1,0,0,0,0
23,Relación,Sech,0.49,0.618,-5.655,1,0.10400000000000001,0.0221,3.77e-06,0.259,0.28600000000000003,100,201600,1,0,1,0,0,0,0,0,0,0,0,0,0
24,The Woo ,Pop Smoke,0.597,0.45,-6.6579999999999995,1,0.0418,0.223,0.0,0.382,0.537,179,228482,1,0,0,0,0,0,0,0,0,1,0,0,0
25,Stuck with U ,Ariana Grande,0.728,0.8059999999999999,-3.766,1,0.0623,0.0531,0.000301,0.153,0.698,168,217547,1,0,0,0,0,0,0,1,0,0,0,0,0
26,Caramelo,Ozuna,0.7759999999999999,0.509,-6.266,0,0.467,0.192,1.49e-06,0.115,0.485,95,129371,1,0,0,0,0,0,0,0,0,0,0,0,0
27,TKN ,ROSALÍA,0.501,0.405,-5.678999999999999,1,0.0319,0.7509999999999999,0.0,0.105,0.446,110,182161,1,0,1,0,0,0,0,0,0,0,0,0,0
28,Someone You Loved,Lewis Capaldi,0.848,0.637,-5.132000000000001,1,0.156,0.0413,0.0,0.0521,0.698,97,222680,1,0,0,0,0,0,0,0,0,0,1,0,0
29,Tattoo - Remix,Rauw Alejandro,0.76,0.6579999999999999,-5.275,1,0.275,0.162,0.0,0.195,0.565,100,157944,1,0,0,0,0,0,0,0,1,0,0,0,0
30,Agua ,Tainy,0.863,0.631,-4.689,1,0.0534,0.305,3.04e-05,0.12300000000000001,0.8170000000000001,129,223480,1,0,0,0,0,0,0,0,1,0,0,0,0
31,Supalonely,BENEE,0.63,0.446,-8.9,1,0.0351,0.337,0.0,0.166,0.177,143,202193,1,0,1,0,0,0,0,0,0,0,0,0,0
32,Life's A Mess ,Juice WRLD,0.45899999999999996,0.575,-4.8580000000000005,1,0.0573,0.604,0.0,0.0885,0.183,112,215107,1,0,0,0,1,0,0,0,0,0,0,0,0
33,Before You Go,Lewis Capaldi,0.747,0.622,-5.825,1,0.0838,0.17600000000000002,0.0,0.151,0.57,160,181661,1,0,0,0,0,0,0,0,0,0,0,0,1
34,Conversations,Juice WRLD,0.823,0.586,-6.606,0,0.2,0.114,0.0,0.193,0.34700000000000003,126,190476,1,0,0,0,0,0,0,1,0,0,0,0,0
35,For The Night ,Pop Smoke,0.845,0.677,-4.798,0,0.136,0.26899999999999996,0.000917,0.10800000000000001,0.68,90,219048,1,0,0,0,0,0,0,0,0,0,0,0,1
36,La Curiosidad,Jay Wheeler,0.701,0.65,-6.313,1,0.10400000000000001,0.29100000000000004,0.0,0.11199999999999999,0.647,90,160212,1,0,0,0,0,0,0,1,0,0,0,0,0
