,track,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,top100,top10
0,ROCKSTAR ,DaBaby,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,90,181733,4,1,1
1,Savage Love ,Jawsh 685,0.767,0.481,0,-8.52,0,0.0803,0.234,0.0,0.269,0.761,150,171375,4,1,1
2,Blinding Lights,The Weeknd,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171,200040,4,1,1
3,Watermelon Sugar,Harry Styles,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95,174000,4,1,1
4,Roses - Imanbek Remix,SAINt JHN,0.785,0.721,8,-5.457,1,0.0506,0.0149,0.00432,0.285,0.894,122,176219,4,1,1
5,Come & Go ,Juice WRLD,0.625,0.814,0,-5.181,1,0.0657,0.0172,0.0,0.158,0.535,145,205485,4,1,1
6,POPSTAR ,DJ Khaled,0.8,0.56,5,-4.818,0,0.261,0.057,0.0,0.134,0.45,163,200221,4,1,1
7,Wishing Well,Juice WRLD,0.65,0.613,9,-6.13,0,0.128,0.00336,0.0,0.267,0.0804,150,194621,4,1,1
8,Breaking Me,Topic,0.789,0.72,8,-5.652,0,0.218,0.223,0.0,0.129,0.664,122,166794,4,1,1
9,death bed ,Powfu,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144,173333,4,1,1
10,Rain On Me ,Lady Gaga,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,0.646,123,182200,4,1,0
11,Dance Monkey,Tones And I,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98,209438,4,1,0
12,ily ,Surf Mesa,0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112,176547,4,1,0
13,La Jeepeta - Remix,Nio Garcia,0.815,0.715,4,-4.65,0,0.207,0.3,4.83e-06,0.091,0.786,176,345241,4,1,0
14,WHATS POPPIN ,Jack Harlow,0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145,227478,4,1,0
15,How You Like That,BLACKPINK,0.828,0.782,11,-4.014,1,0.0918,0.0694,3.41e-05,0.0544,0.351,130,181264,4,1,0
16,Toosie Slide,Drake,0.834,0.454,1,-9.75,0,0.201,0.321,6.15e-06,0.114,0.837,82,247059,4,1,0
17,Break My Heart,Dua Lipa,0.73,0.729,4,-3.434,0,0.0886,0.167,1.39e-06,0.349,0.467,113,221820,4,1,0
18,MAMACITA,Black Eyed Peas,0.894,0.635,2,-6.929,1,0.0473,0.193,0.00105,0.0823,0.428,105,249143,4,1,0
19,Don't Start Now,Dua Lipa,0.774,0.554,0,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99,162547,4,1,0
20,Blueberry Faygo,Lil Mosey,0.695,0.343,5,-10.798,1,0.0432,0.0743,1.04e-06,0.107,0.229,86,218902,4,1,0
21,GREECE ,DJ Khaled,0.728,0.431,6,-9.966,0,0.0622,0.749,0.0,0.0996,0.629,130,147800,4,1,0
22,Party Girl ,StaySolidRocky,0.805,0.562,7,-3.117,0,0.105,0.125,4.96e-06,0.148,0.767,172,184255,4,1,0
23,Relación,Sech,0.49,0.618,1,-5.655,1,0.104,0.0221,3.77e-06,0.259,0.286,100,201600,4,1,0
24,The Woo ,Pop Smoke,0.597,0.45,8,-6.658,1,0.0418,0.223,0.0,0.382,0.537,179,228482,3,1,0
25,Stuck with U ,Ariana Grande,0.728,0.806,6,-3.766,1,0.0623,0.0531,0.000301,0.153,0.698,168,217547,4,1,0
26,Caramelo,Ozuna,0.776,0.509,0,-6.266,0,0.467,0.192,1.49e-06,0.115,0.485,95,129371,4,1,0
27,TKN ,ROSALÍA,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,110,182161,4,1,0
28,Someone You Loved,Lewis Capaldi,0.848,0.637,9,-5.132,1,0.156,0.0413,0.0,0.0521,0.698,97,222680,4,1,0
29,Tattoo - Remix,Rauw Alejandro,0.76,0.658,7,-5.275,1,0.275,0.162,0.0,0.195,0.565,100,157944,4,1,0
30,Agua ,Tainy,0.863,0.631,7,-4.689,1,0.0534,0.305,3.04e-05,0.123,0.817,129,223480,4,1,0
31,Supalonely,BENEE,0.63,0.446,1,-8.9,1,0.0351,0.337,0.0,0.166,0.177,143,202193,4,1,0
32,Life's A Mess ,Juice WRLD,0.459,0.575,3,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,112,215107,4,1,0
33,Before You Go,Lewis Capaldi,0.747,0.622,11,-5.825,1,0.0838,0.176,0.0,0.151,0.57,160,181661,4,1,0
34,Conversations,Juice WRLD,0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,126,190476,4,1,0
35,For The Night ,Pop Smoke,0.845,0.677,11,-4.798,0,0.136,0.269,0.000917,0.108,0.68,90,219048,4,1,0
36,La Curiosidad,Jay Wheeler,0.701,0.65,6,-6.313,1,0.104,0.291,0.0,0.112,0.647,90,160212,4,1,0
37,Hate The Other Side ,Juice WRLD,0.811,0.553,9,-6.644,1,0.0552,0.317,0.0,0.105,0.86,148,212869,4,1,0
38,Intentions ,Justin Bieber,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,117,196653,4,1,0
39,The Box,Roddy Ricch,0.706,0.625,0,-7.426,1,0.0314,0.0417,0.0,0.129,0.225,143,242181,4,1,0
